model_name,accuracy,time,loss
random_forest,0.7433,4673.4420747,
random_forest_stem,0.7446,3145.8526048000003,
random_forest_lem,0.7437,4217.279929,
vanilla_nn,0.7679499983787537,4371.061096699999,0.4843661487102508
stemming_nn,0.7641500234603882,3354.5037931000006,0.4915437400341034
lemmatization_nn,0.767799973487854,3995.9331809,0.4859600961208343
glove_lstm_cnn,0.7815999984741211,814.3373967999978,0.4821082949638366
w2v_lstm_nn,0.7968999743461609,611.2383909,0.4341558218002319
ASTA,0.721,,
glove_cnn,0.7965499758720398,206.2394393,0.436982125043869
glove_lstm_nn,0.8034999966621399,289.7388525,0.4267839789390564
